date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:34:17	18353/18353	---M--	200	added ('OK')	image/jpeg	date:Tue,%2018%20May%202010%2004:00:00%20GMT	http://groupeleblancgroup.com/upload/1-89919E43-0135-E4D6-B975-D2651E2B4BF6sp_2_1.jpg	C:/My%20Web%20Sites/groupeleblancgroup.com_upload/groupeleblancgroup.com/upload/1-89919E43-0135-E4D6-B975-D2651E2B4BF6sp_2_1.jpg	(from http://groupeleblancgroup.com/upload/)
14:34:18	17849/17849	---M--	200	added ('OK')	image/jpeg	date:Tue,%2018%20May%202010%2004:00:00%20GMT	http://groupeleblancgroup.com/upload/1-CC5468A8-FDD4-D07F-53D5-127119FE93EEPhoto_001%20mod3.jpg	C:/My%20Web%20Sites/groupeleblancgroup.com_upload/groupeleblancgroup.com/upload/1-CC5468A8-FDD4-D07F-53D5-127119FE93EEPhoto_001%20mod3.jpg	(from http://groupeleblancgroup.com/upload/)
14:34:18	34035/34035	---M--	200	added ('OK')	image/jpeg	date:Tue,%2018%20May%202010%2004:00:00%20GMT	http://groupeleblancgroup.com/upload/1-814D6186-5AE8-4E77-181C-96B26525B334Photos%20mixte%20002.jpg	C:/My%20Web%20Sites/groupeleblancgroup.com_upload/groupeleblancgroup.com/upload/1-814D6186-5AE8-4E77-181C-96B26525B334Photos%20mixte%20002.jpg	(from http://groupeleblancgroup.com/upload/)
14:34:19	9987/9987	---M--	200	added ('OK')	image/jpeg	date:Tue,%2018%20May%202010%2004:00:00%20GMT	http://groupeleblancgroup.com/upload/2-0F676149-97FE-797D-1877-A9EA262CB0C7sml_01.jpg	C:/My%20Web%20Sites/groupeleblancgroup.com_upload/groupeleblancgroup.com/upload/2-0F676149-97FE-797D-1877-A9EA262CB0C7sml_01.jpg	(from http://groupeleblancgroup.com/upload/)
14:34:20	32928/32928	---M--	200	added ('OK')	image/jpeg	date:Tue,%2018%20May%202010%2004:00:00%20GMT	http://groupeleblancgroup.com/upload/1-FB9B15F3-B143-EA6C-B7DE-250661A758EF417-1.jpg	C:/My%20Web%20Sites/groupeleblancgroup.com_upload/groupeleblancgroup.com/upload/1-FB9B15F3-B143-EA6C-B7DE-250661A758EF417-1.jpg	(from http://groupeleblancgroup.com/upload/)
14:34:21	13200/13200	---M--	200	added ('OK')	image/jpeg	date:Tue,%2018%20May%202010%2004:00:00%20GMT	http://groupeleblancgroup.com/upload/2-11C0D460-6315-EE03-6230-3ECA8A92DA84sai_4_1.jpg	C:/My%20Web%20Sites/groupeleblancgroup.com_upload/groupeleblancgroup.com/upload/2-11C0D460-6315-EE03-6230-3ECA8A92DA84sai_4_1.jpg	(from http://groupeleblancgroup.com/upload/)
14:34:21	20364/20364	---M--	200	added ('OK')	image/jpeg	date:Tue,%2018%20May%202010%2004:00:00%20GMT	http://groupeleblancgroup.com/upload/2-10332472-8E5C-D8E5-0F2A-53BDBECC8280mr_2_1.jpg	C:/My%20Web%20Sites/groupeleblancgroup.com_upload/groupeleblancgroup.com/upload/2-10332472-8E5C-D8E5-0F2A-53BDBECC8280mr_2_1.jpg	(from http://groupeleblancgroup.com/upload/)
14:34:22	16599/16599	---M--	200	added ('OK')	image/jpeg	date:Tue,%2018%20May%202010%2004:00:00%20GMT	http://groupeleblancgroup.com/upload/2-1892D934-40FB-5F51-C218-6A67A9B5F42Aml_3_1.jpg	C:/My%20Web%20Sites/groupeleblancgroup.com_upload/groupeleblancgroup.com/upload/2-1892D934-40FB-5F51-C218-6A67A9B5F42Aml_3_1.jpg	(from http://groupeleblancgroup.com/upload/)
14:34:22	9385/9385	---M--	200	added ('OK')	image/jpeg	date:Tue,%2018%20May%202010%2004:00:00%20GMT	http://groupeleblancgroup.com/upload/2-1B09F285-EB8C-1418-4316-07ABC5495CCDdes_3_1.jpg	C:/My%20Web%20Sites/groupeleblancgroup.com_upload/groupeleblancgroup.com/upload/2-1B09F285-EB8C-1418-4316-07ABC5495CCDdes_3_1.jpg	(from http://groupeleblancgroup.com/upload/)
14:34:23	14711/14711	---M--	200	added ('OK')	image/jpeg	date:Tue,%2018%20May%202010%2004:00:00%20GMT	http://groupeleblancgroup.com/upload/2-1D569CC5-3690-35FC-1487-0E60D9309444des_2_1.jpg	C:/My%20Web%20Sites/groupeleblancgroup.com_upload/groupeleblancgroup.com/upload/2-1D569CC5-3690-35FC-1487-0E60D9309444des_2_1.jpg	(from http://groupeleblancgroup.com/upload/)
